Attendance,StudyHours,PreviousSGPA,SkillDevelopmentHours,SocialMediaHours,EnglishProficiency,Scholarship,CoCurricular,HealthIssues,FamilyIncome,CreditsCompleted,CurrentSemester,CurrentCGPA,PerformanceCategory
90,3,6.7,2,5,Intermediate,Yes,Yes,No,25000,75,12,7.88,Average
96,3,6.7,2,3,Basic,Yes,Yes,No,100000,36,4,7.88,Average
80,3,6.7,1,3,Intermediate,No,No,No,50000,50,5,7.88,Average
88,1,6.7,1,2,Intermediate,Yes,No,Yes,62488,36,4,7.88,Average
80,3,6.7,1,2,Intermediate,Yes,No,Yes,50000,36,4,7.88,Average
95,2,6.7,2,1,Intermediate,Yes,Yes,No,30000,36,4,7.88,Average
80,2,6.7,6,2,Intermediate,Yes,No,Yes,20000,36,4,7.88,Average
100,2,9.5,1,2,Basic,Yes,No,No,32500,35,4,9.1,Good
90,3,6.7,3,2,Intermediate,Yes,No,No,20000,36,4,7.88,Average
100,5,6.7,1,2,Intermediate,Yes,No,No,25000,36,4,7.88,Average
90,3,6.7,1,3,Intermediate,Yes,Yes,No,50000,36,4,7.88,Average
90,3,8.5,2,2,Basic,No,No,Yes,20000,35,4,8.82,Good
100,1,6.7,2,1,Basic,No,No,No,50000,36,4,7.88,Average
90,3,6.7,1,1,Intermediate,Yes,No,No,24000,36,4,7.88,Average
97,2,6.7,2,1,Basic,No,No,No,70000,36,4,7.88,Average
95,2,9.83,3,1,Basic,Yes,Yes,No,30000,35,4,9.72,Excellent
95,5,6.7,2,1,Intermediate,Yes,Yes,No,40000,36,4,7.88,Average
97,5,6.7,2,2,Basic,Yes,No,No,50000,36,4,7.88,Average
70,1,7.75,2,3,Advance,Yes,No,No,62488,35,4,8.75,Good
70,3,6.7,2,2,Intermediate,No,No,No,20000,36,4,7.88,Average
96,3,9.52,1,2,Intermediate,Yes,Yes,No,30000,34,4,9.12,Good
80,3,6.7,2,2,Intermediate,Yes,No,No,50000,36,4,7.88,Average
98,2,6.7,2,2,Intermediate,Yes,Yes,No,20000,36,4,7.88,Average
95,6,6.7,3,3,Intermediate,No,Yes,No,25000,36,4,7.88,Average
85,1,9.72,2,1,Advance,Yes,Yes,Yes,35000,35,4,9.52,Excellent
97,3,9.48,2,1,Basic,No,No,No,50000,39,4,9.55,Excellent
95,4,6.7,2,3,Basic,No,Yes,No,4000,36,4,7.88,Average
70,2,8.88,4,4,Intermediate,Yes,Yes,Yes,40000,35,4,8.7,Good
95,2,8.2,2,2,Intermediate,Yes,Yes,Yes,8000,36,4,8.3,Good
100,3,6.7,3,2,Intermediate,Yes,Yes,No,47972,36,4,7.88,Average
90,3,6.7,2,4,Intermediate,Yes,No,No,30000,11,2,7.88,Average
95,4,6.7,3,2,Intermediate,Yes,Yes,No,90000,11,2,7.88,Average
90,5,6.7,1,2,Intermediate,No,No,No,30000,11,2,7.88,Average
100,8,6.7,2,2,Intermediate,Yes,Yes,No,37000,36,4,7.88,Average
95,1,6.7,1,2,Basic,Yes,Yes,No,35000,11,2,7.88,Average
80,3,6.7,2,1,Intermediate,Yes,Yes,No,50000,11,2,7.88,Average
99,2,6.7,2,3,Basic,Yes,No,No,30000,11,2,7.88,Average
70,2,6.7,4,5,Basic,No,No,Yes,20000,126,11,7.88,Average
100,4,6.7,1,4,Intermediate,Yes,No,No,80000,11,2,7.88,Average
98,5,6.7,2,3,Advance,Yes,Yes,No,40000,11,2,7.88,Average
100,5,6.7,3,6,Basic,Yes,No,No,20000,11,2,7.88,Average
97,3,6.7,2,2,Basic,No,Yes,No,10000,11,2,7.88,Average
98,3,6.7,4,1,Basic,Yes,No,No,10000,11,2,7.88,Average
90,5,6.7,1,6,Intermediate,Yes,Yes,No,40000,11,2,7.88,Average
90,4,6.7,2,2,Intermediate,Yes,Yes,No,40000,11,2,7.88,Average
95,4,6.7,3,1,Basic,Yes,No,No,25000,11,2,7.88,Average
95,5,6.7,1,3,Intermediate,Yes,Yes,No,20000,11,2,7.88,Average
90,1,6.7,2,1,Intermediate,Yes,Yes,No,22000,11,2,7.88,Average
99,2,9.45,1,3,Basic,No,No,No,200000,36,4,9.7,Excellent
90,7,6.7,2,5,Basic,Yes,No,Yes,39000,11,2,7.88,Average
90,2,6.7,1,3,Intermediate,Yes,No,No,30000,11,2,7.88,Average
88,2,10.0,2,2,Intermediate,Yes,Yes,No,20000,11,2,10.0,Excellent
95,5,6.7,2,1,Intermediate,Yes,Yes,No,30000,11,2,7.88,Average
100,3,9.75,1,2,Intermediate,Yes,No,No,60000,12,2,9.75,Excellent
100,2,6.7,2,1,Basic,Yes,No,No,40000,11,2,7.88,Average
80,1,6.7,2,7,Basic,No,Yes,Yes,32000,11,2,7.88,Average
100,1,6.7,1,2,Intermediate,Yes,No,No,30000,11,2,7.88,Average
98,1,6.7,2,1,Intermediate,Yes,Yes,No,40000,11,2,7.88,Average
85,4,6.7,2,3,Intermediate,Yes,No,No,30000,11,2,7.88,Average
99,2,6.7,2,4,Intermediate,Yes,Yes,No,40000,11,2,7.88,Average
75,1,6.7,1,4,Intermediate,Yes,No,No,35000,11,2,7.88,Average
85,3,6.7,2,4,Intermediate,Yes,No,No,40000,36,4,7.88,Average
100,1,6.7,2,2,Intermediate,No,Yes,No,15000,126,11,7.88,Average
95,3,9.6,1,5,Intermediate,Yes,No,No,23000,80,8,9.5,Excellent
95,3,6.7,2,2,Advance,No,Yes,No,62488,88,8,7.88,Average
70,2,8.28,2,4,Intermediate,Yes,Yes,No,350000,132,12,8.8,Good
100,3,6.7,2,4,Intermediate,No,No,No,50000,88,8,7.88,Average
95,3,6.7,1,2,Advance,Yes,No,No,40000,11,2,7.88,Average
100,3,6.7,5,2,Intermediate,No,No,No,35000,11,2,7.88,Average
80,3,6.7,2,2,Basic,Yes,No,No,35000,88,8,7.88,Average
100,8,6.7,2,1,Basic,No,Yes,No,30000,11,2,7.88,Average
90,2,6.7,1,1,Intermediate,Yes,No,No,40000,88,8,7.88,Average
95,4,6.7,1,1,Intermediate,Yes,Yes,No,35000,11,2,7.88,Average
95,1,6.7,2,2,Intermediate,No,No,Yes,40000,88,8,7.88,Average
80,2,6.7,1,3,Intermediate,No,Yes,No,30000,136,12,7.88,Average
100,3,6.7,8,1,Intermediate,No,Yes,No,35000,88,8,7.88,Average
95,4,6.7,2,2,Basic,No,No,No,25000,88,8,7.88,Average
99,5,6.7,2,2,Basic,Yes,Yes,Yes,600000,11,2,7.88,Average
100,4,6.7,2,4,Basic,Yes,No,No,35000,11,2,7.88,Average
80,1,8.73,2,5,Intermediate,Yes,No,No,40000,71,8,9.18,Good
100,4,7.68,2,2,Intermediate,No,No,No,20000,85,8,6.85,At Risk
85,3,6.7,1,8,Intermediate,No,No,No,20000,88,8,7.88,Average
95,3,9.4,1,1,Intermediate,No,No,No,92000,83,8,8.75,Good
98,3,6.75,2,1,Intermediate,No,No,No,35000,80,8,7.0,Average
95,2,6.7,2,2,Intermediate,No,No,No,20000,88,8,7.88,Average
99,1,6.7,2,1,Intermediate,No,Yes,No,15000,88,8,7.88,Average
96,2,6.7,2,1,Intermediate,Yes,Yes,No,30000,88,8,7.88,Average
95,3,9.12,2,1,Intermediate,No,Yes,No,45000,11,2,7.88,Average
100,1,6.7,1,15,Intermediate,No,No,No,90000,88,8,7.88,Average
80,2,6.7,1,2,Basic,No,No,No,35000,88,8,7.88,Average
95,2,6.7,3,3,Basic,Yes,No,No,20000,88,8,7.88,Average
88,4,6.7,2,2,Intermediate,Yes,Yes,No,100000,11,2,7.88,Average
100,6,9.6,2,3,Intermediate,Yes,Yes,No,30000,73,11,7.75,Average
80,2,6.7,2,6,Intermediate,No,No,No,70000,11,2,7.88,Average
90,2,6.7,4,4,Basic,No,No,No,40000,113,10,7.88,Average
100,2,6.7,2,1,Basic,Yes,Yes,No,10000,11,2,7.88,Average
82,2,6.7,4,2,Advance,Yes,No,No,40000,36,4,7.88,Average
90,1,6.7,0,1,Intermediate,Yes,No,No,20000,36,4,7.88,Average
98,3,6.7,8,1,Intermediate,No,Yes,No,22000,50,5,7.88,Average
85,3,6.7,2,1,Intermediate,No,No,Yes,45000,126,11,7.88,Average
90,4,6.7,1,3,Intermediate,No,No,No,40000,88,8,7.88,Average
90,2,6.7,1,5,Intermediate,Yes,No,Yes,50000,11,2,7.88,Average
90,3,6.7,2,4,Intermediate,Yes,No,No,50000,88,8,7.88,Average
88,2,6.7,1,6,Basic,No,No,No,30000,112,13,7.88,Average
95,3,6.7,5,1,Basic,Yes,No,No,40000,11,2,7.88,Average
